ACC;CAT;VOX;SUB;MSI_P;MSI_T;MUS;FMM;IES
0;/a/;1;1;7;35;1;1;329.565148971618
0;/a/;1;2;13;38;1;1;554.508077225246
0;/a/;1;5;24;44;1;1;739.932753830012
0;/a/;1;15;7;9;1;1;595.786316086021
0;/a/;1;16;11;36;1;1;758.184714257512
0;/a/;1;17;7;9;1;1;723.906871165843
0;/a/;1;19;14;46;1;1;511.187492911502
0;/a/;1;21;23;44;1;1;625.196503297318
0;/a/;1;23;7;37;1;1;581.8510859335
0;/a/;1;24;23;40;1;1;523.220368360282
0;/a/;1;25;7;27;1;1;673.544282745389
0;/a/;1;27;15;45;1;1;455.106956731233
0;/a/;1;28;14;22;1;1;1084.04168776186
0;/a/;1;29;11;42;1;1;497.800091942159
0;/a/;1;1;7;35;1;1;385.859283928657
0;/a/;1;2;13;38;1;1;523.68630512196
0;/a/;1;5;24;44;1;1;805.915763697491
0;/a/;1;15;7;9;1;1;719.049439384758
0;/a/;1;16;11;36;1;1;413.093866832223
0;/a/;1;17;7;9;1;1;698.421483339533
0;/a/;1;19;14;46;1;1;490.740860708578
0;/a/;1;21;23;44;1;1;729.403953785027
0;/a/;1;23;7;37;1;1;509.443602661767
0;/a/;1;24;23;40;1;1;492.4234304092
0;/a/;1;25;7;27;1;1;598.478686658612
0;/a/;1;27;15;45;1;1;487.985464294453
0;/a/;1;28;14;22;1;1;558.13924565678
0;/a/;1;29;11;42;1;1;443.060010620808
0;/a/;1;1;7;35;1;2;356.762053174868
0;/a/;1;2;13;38;1;2;461.51183940499
0;/a/;1;5;24;44;1;2;804.688471628177
0;/a/;1;15;7;9;1;2;592.84852287283
0;/a/;1;16;11;36;1;2;470.960288399725
0;/a/;1;17;7;9;1;2;754.340941239604
0;/a/;1;19;14;46;1;2;466.469709874621
0;/a/;1;21;23;44;1;2;549.146108715907
0;/a/;1;23;7;37;1;2;478.863867586155
0;/a/;1;24;23;40;1;2;504.018335306485
0;/a/;1;25;7;27;1;2;626.370323663873
0;/a/;1;27;15;45;1;2;495.426714334824
0;/a/;1;28;14;22;1;2;733.697384423326
0;/a/;1;29;11;42;1;2;452.033491134743
0;/a/;1;1;7;35;1;2;396.210198363244
0;/a/;1;2;13;38;1;2;500.655005000681
0;/a/;1;5;24;44;1;2;636.882732395525
0;/a/;1;15;7;9;1;2;869.094358143016
0;/a/;1;16;11;36;1;2;505.459447498547
0;/a/;1;17;7;9;1;2;686.960619529207
0;/a/;1;19;14;46;1;2;436.322757116096
0;/a/;1;21;23;44;1;2;545.021444348155
0;/a/;1;23;7;37;1;2;449.44313498148
0;/a/;1;24;23;40;1;2;489.574139884217
0;/a/;1;25;7;27;1;2;565.258535119953
0;/a/;1;27;15;45;1;2;468.84523079253
0;/a/;1;28;14;22;1;2;700.679243505328
0;/a/;1;29;11;42;1;2;504.869823315419
0;/u/;1;1;7;35;1;1;360.772061041799
0;/u/;1;2;13;38;1;1;540.573058005908
0;/u/;1;5;24;44;1;1;676.843856188439
0;/u/;1;15;7;9;1;1;751.30250298649
0;/u/;1;16;11;36;1;1;557.202525486495
0;/u/;1;17;7;9;1;1;750.844551492498
0;/u/;1;19;14;46;1;1;518.039346216532
0;/u/;1;21;23;44;1;1;777.217792420663
0;/u/;1;23;7;37;1;1;687.551370204022
0;/u/;1;24;23;40;1;1;501.157662944316
0;/u/;1;25;7;27;1;1;559.124244072
0;/u/;1;27;15;45;1;1;510.109647561122
0;/u/;1;28;14;22;1;1;1447.20298544866
0;/u/;1;29;11;42;1;1;562.172390822422
0;/u/;1;1;7;35;1;1;521.961143669679
0;/u/;1;2;13;38;1;1;680.196015450943
0;/u/;1;5;24;44;1;1;657.157666199876
0;/u/;1;15;7;9;1;1;1112.97383021058
0;/u/;1;16;11;36;1;1;599.706175034464
0;/u/;1;17;7;9;1;1;809.726452723067
0;/u/;1;19;14;46;1;1;600.076316613855
0;/u/;1;21;23;44;1;1;627.074709809356
0;/u/;1;23;7;37;1;1;6761.08843537415
0;/u/;1;24;23;40;1;1;704.181793288893
0;/u/;1;25;7;27;1;1;701.430320513948
0;/u/;1;27;15;45;1;1;1144.96869425961
0;/u/;1;28;14;22;1;1;1124.12673936429
0;/u/;1;29;11;42;1;1;803.056138576054
0;/u/;1;1;7;35;1;2;479.180680349927
0;/u/;1;2;13;38;1;2;454.703255899423
0;/u/;1;5;24;44;1;2;807.508694596586
0;/u/;1;15;7;9;1;2;734.626446058922
0;/u/;1;16;11;36;1;2;465.150297614965
0;/u/;1;17;7;9;1;2;811.320910038289
0;/u/;1;19;14;46;1;2;453.028383469402
0;/u/;1;21;23;44;1;2;653.517371255515
0;/u/;1;23;7;37;1;2;2240.46076108176
0;/u/;1;24;23;40;1;2;528.670207462524
0;/u/;1;25;7;27;1;2;581.539887072308
0;/u/;1;27;15;45;1;2;707.488085680229
0;/u/;1;28;14;22;1;2;909.30500613674
0;/u/;1;29;11;42;1;2;502.155854119848
0;/u/;1;1;7;35;1;2;551.262744683626
0;/u/;1;2;13;38;1;2;529.266752860908
0;/u/;1;5;24;44;1;2;755.97072592339
0;/u/;1;15;7;9;1;2;940.113597332881
0;/u/;1;16;11;36;1;2;512.429034860715
0;/u/;1;17;7;9;1;2;943.575623439873
0;/u/;1;19;14;46;1;2;578.637196511162
0;/u/;1;21;23;44;1;2;622.486879703737
0;/u/;1;23;7;37;1;2;NaN
0;/u/;1;24;23;40;1;2;912.4010732725
0;/u/;1;25;7;27;1;2;716.476814166856
0;/u/;1;27;15;45;1;2;1032.31291916393
0;/u/;1;28;14;22;1;2;901.181377266616
0;/u/;1;29;11;42;1;2;687.495471676013
0;Bassoon;0;1;7;35;1;1;824.309102097356
0;Bassoon;0;2;13;38;1;1;604.80253126641
0;Bassoon;0;5;24;44;1;1;812.968931072029
0;Bassoon;0;15;7;9;1;1;1207.70096825405
0;Bassoon;0;16;11;36;1;1;930.770288900668
0;Bassoon;0;17;7;9;1;1;659.435266847988
0;Bassoon;0;19;14;46;1;1;678.950868636214
0;Bassoon;0;21;23;44;1;1;623.721784079519
0;Bassoon;0;23;7;37;1;1;970.437391631782
0;Bassoon;0;24;23;40;1;1;887.591227015176
0;Bassoon;0;25;7;27;1;1;707.644328454406
0;Bassoon;0;27;15;45;1;1;512.412180373286
0;Bassoon;0;28;14;22;1;1;859.604310536179
0;Bassoon;0;29;11;42;1;1;679.951762046187
0;Bassoon;0;1;7;35;1;1;824.309102097356
0;Bassoon;0;2;13;38;1;1;604.80253126641
0;Bassoon;0;5;24;44;1;1;812.968931072029
0;Bassoon;0;15;7;9;1;1;1207.70096825405
0;Bassoon;0;16;11;36;1;1;930.770288900668
