ACC;CAT;VOX;SUB;MSI_P;MSI_T;MUS;FMM;IES
0;Vocals;1;2;26;36;1;1;478.357718336547
0;Vocals;1;3;13;45;1;1;718.646084319368
0;Vocals;1;5;14;37;1;1;539.439522305929
0;Vocals;1;6;17;43;1;1;525.169549490473
0;Vocals;1;7;13;47;1;1;591.856890177858
0;Vocals;1;12;20;42;1;1;515.643193678728
0;Vocals;1;13;16;43;1;1;580.82714737781
0;Vocals;1;16;9;33;1;1;386.290823714243
0;Vocals;1;17;9;36;1;1;397.718283741803
0;Vocals;1;21;12;47;1;1;835.681309810534
0;Vocals;1;22;7;23;1;1;849.141685237784
0;Vocals;1;23;10;51;1;1;827.493414900008
0;Vocals;1;25;13;35;1;1;636.86650170405
0;Vocals;1;26;7;28;1;1;489.735977446942
0;Vocals;1;27;22;37;1;1;372.065521481449
0;Vocals;1;1;11;38;1;1;880.175174359834
0;Vocals;1;2;26;36;1;1;608.708952996004
0;Vocals;1;3;13;45;1;1;721.220798061799
0;Vocals;1;5;14;37;1;1;662.953013634092
0;Vocals;1;6;17;43;1;1;521.481901181557
0;Vocals;1;7;13;47;1;1;624.284373844133
0;Vocals;1;12;20;42;1;1;589.356005142635
0;Vocals;1;13;16;43;1;1;566.912306371585
0;Vocals;1;16;9;33;1;1;390.218416299364
0;Vocals;1;17;9;36;1;1;403.899069136648
0;Vocals;1;21;12;47;1;1;611.184880879133
0;Vocals;1;22;7;23;1;1;716.273458447556
0;Vocals;1;23;10;51;1;1;690.558982276211
0;Vocals;1;25;13;35;1;1;681.230518872999
0;Vocals;1;26;7;28;1;1;464.646368732052
0;Vocals;1;27;22;37;1;1;418.284800463133
0;Vocals;1;2;26;36;1;2;478.357718336547
0;Vocals;1;3;13;45;1;2;718.646084319368
0;Vocals;1;5;14;37;1;2;539.439522305929
0;Vocals;1;6;17;43;1;2;525.169549490473
0;Vocals;1;7;13;47;1;2;591.856890177858
0;Vocals;1;12;20;42;1;2;515.643193678728
0;Vocals;1;13;16;43;1;2;580.82714737781
0;Vocals;1;16;9;33;1;2;386.290823714243
0;Vocals;1;17;9;36;1;2;397.718283741803
0;Vocals;1;21;12;47;1;2;835.681309810534
0;Vocals;1;22;7;23;1;2;849.141685237784
0;Vocals;1;23;10;51;1;2;827.493414900008
0;Vocals;1;25;13;35;1;2;636.86650170405
0;Vocals;1;26;7;28;1;2;489.735977446942
0;Vocals;1;27;22;37;1;2;372.065521481449
0;Vocals;1;1;11;38;1;2;880.175174359834
0;Vocals;1;2;26;36;1;2;608.708952996004
0;Vocals;1;3;13;45;1;2;721.220798061799
0;Vocals;1;5;14;37;1;2;662.953013634092
0;Vocals;1;6;17;43;1;2;521.481901181557
0;Vocals;1;7;13;47;1;2;624.284373844133
0;Vocals;1;12;20;42;1;2;589.356005142635
0;Vocals;1;13;16;43;1;2;566.912306371585
0;Vocals;1;16;9;33;1;2;390.218416299364
0;Vocals;1;17;9;36;1;2;403.899069136648
0;Vocals;1;21;12;47;1;2;611.184880879133
0;Vocals;1;22;7;23;1;2;716.273458447556
0;Vocals;1;23;10;51;1;2;690.558982276211
0;Vocals;1;25;13;35;1;2;681.230518872999
0;Vocals;1;26;7;28;1;2;464.646368732052
0;Vocals;1;27;22;37;1;2;418.284800463133
0;Strings;1;1;11;38;1;1;546.86027910932
0;Strings;1;2;26;36;1;1;849.195952756323
0;Strings;1;3;13;45;1;1;516.875597562436
0;Strings;1;5;14;37;1;1;536.597884977975
0;Strings;1;6;17;43;1;1;481.661400541282
0;Strings;1;7;13;47;1;1;811.322998714956
0;Strings;1;12;20;42;1;1;596.145461259154
0;Strings;1;13;16;43;1;1;689.484199237824
0;Strings;1;16;9;33;1;1;634.721544156697
0;Strings;1;17;9;36;1;1;370.792637922844
0;Strings;1;22;7;23;1;1;636.935874543224
0;Strings;1;25;13;35;1;1;762.436277119401
0;Strings;1;26;7;28;1;1;485.44372753469
0;Strings;1;27;22;37;1;1;604.142558069309
0;Strings;1;1;11;38;1;2;546.86027910932
0;Strings;1;2;26;36;1;2;849.195952756323
0;Strings;1;3;13;45;1;2;516.875597562436
0;Strings;1;5;14;37;1;2;536.597884977975
0;Strings;1;6;17;43;1;2;481.661400541282
0;Strings;1;7;13;47;1;2;811.322998714956
0;Strings;1;12;20;42;1;2;596.145461259154
0;Strings;1;13;16;43;1;2;689.484199237824
0;Strings;1;16;9;33;1;2;634.721544156697
0;Strings;1;17;9;36;1;2;370.792637922844
0;Strings;1;22;7;23;1;2;636.935874543224
0;Strings;1;25;13;35;1;2;762.436277119401
0;Strings;1;26;7;28;1;2;485.44372753469
0;Strings;1;27;22;37;1;2;604.142558069309
0;Winds;0;1;11;38;1;1;618.74733240553
0;Winds;0;3;13;45;1;1;545.096757149676
0;Winds;0;5;14;37;1;1;444.577134885594
0;Winds;0;6;17;43;1;1;571.559229663273
0;Winds;0;12;20;42;1;1;592.73678457659
0;Winds;0;13;16;43;1;1;699.238173383286
0;Winds;0;16;9;33;1;1;615.907785579703
0;Winds;0;17;9;36;1;1;400.780060157072
0;Winds;0;21;12;47;1;1;774.891131809768
0;Winds;0;22;7;23;1;1;666.77955888457
0;Winds;0;23;10;51;1;1;680.420987243484
0;Winds;0;25;13;35;1;1;600.575535760489
0;Winds;0;26;7;28;1;1;524.521128352834
0;Winds;0;27;22;37;1;1;686.899264687364
0;Winds;0;1;11;38;1;2;618.74733240553
0;Winds;0;3;13;45;1;2;545.096757149676
0;Winds;0;5;14;37;1;2;444.577134885594
0;Winds;0;6;17;43;1;2;571.559229663273
0;Winds;0;12;20;42;1;2;592.73678457659
0;Winds;0;13;16;43;1;2;699.238173383286
0;Winds;0;16;9;33;1;2;615.907785579703
0;Winds;0;17;9;36;1;2;400.780060157072
0;Winds;0;21;12;47;1;2;774.891131809768
0;Winds;0;22;7;23;1;2;666.77955888457
0;Winds;0;23;10;51;1;2;680.420987243484
0;Winds;0;25;13;35;1;2;600.575535760489
0;Winds;0;26;7;28;1;2;524.521128352834
0;Winds;0;27;22;37;1;2;686.899264687364
0;Vocals;1;4;20;43;2;1;546.292781111365
0;Vocals;1;8;14;51;2;1;415.684968133387
0;Vocals;1;9;19;53;2;1;839.449235578181
0;Vocals;1;10;32;57;2;1;497.583287889715
0;Vocals;1;11;19;49;2;1;450.43574336505
0;Vocals;1;18;10;55;2;1;679.990833841266
0;Vocals;1;19;18;52;2;1;489.004987739867
0;Vocals;1;24;42;58;2;1;640.46555755222
0;Vocals;1;28;40;59;2;1;572.951582597345
0;Vocals;1;29;31;53;2;1;421.506700160815
0;Vocals;1;30;14;51;2;1;418.229025508235
0;Vocals;1;4;20;43;2;1;631.542797912918
0;Vocals;1;8;14;51;2;1;391.969673880582
0;Vocals;1;9;19;53;2;1;650.386754452596
0;Vocals;1;10;32;57;2;1;530.155800960974
0;Vocals;1;11;19;49;2;1;438.093366280572
0;Vocals;1;14;26;53;2;1;759.475051387195
0;Vocals;1;15;40;56;2;1;804.948559551603
0;Vocals;1;18;10;55;2;1;877.964441520568
0;Vocals;1;19;18;52;2;1;493.66804318608
0;Vocals;1;24;42;58;2;1;534.857873365581
0;Vocals;1;28;40;59;2;1;539.270798068043
0;Vocals;1;29;31;53;2;1;439.911181796443
0;Vocals;1;30;14;51;2;1;392.71509659484
0;Vocals;1;4;20;43;2;2;546.292781111365
0;Vocals;1;8;14;51;2;2;415.684968133387
0;Vocals;1;9;19;53;2;2;839.449235578181
0;Vocals;1;10;32;57;2;2;497.583287889715
0;Vocals;1;11;19;49;2;2;450.43574336505
0;Vocals;1;18;10;55;2;2;679.990833841266
0;Vocals;1;19;18;52;2;2;489.004987739867
0;Vocals;1;24;42;58;2;2;640.46555755222
0;Vocals;1;28;40;59;2;2;572.951582597345
0;Vocals;1;29;31;53;2;2;421.506700160815
0;Vocals;1;30;14;51;2;2;418.229025508235
0;Vocals;1;4;20;43;2;2;631.542797912918
0;Vocals;1;8;14;51;2;2;391.969673880582
0;Vocals;1;9;19;53;2;2;650.386754452596
0;Vocals;1;10;32;57;2;2;530.155800960974
0;Vocals;1;11;19;49;2;2;438.093366280572
0;Vocals;1;14;26;53;2;2;759.475051387195
0;Vocals;1;15;40;56;2;2;804.948559551603
0;Vocals;1;18;10;55;2;2;877.964441520568
0;Vocals;1;19;18;52;2;2;493.66804318608
0;Vocals;1;24;42;58;2;2;534.857873365581
0;Vocals;1;28;40;59;2;2;539.270798068043
0;Vocals;1;29;31;53;2;2;439.911181796443
0;Vocals;1;30;14;51;2;2;392.71509659484
0;Strings;1;4;20;43;2;1;571.422982716619
0;Strings;1;8;14;51;2;1;381.398943283143
0;Strings;1;10;32;57;2;1;825.26152024686
0;Strings;1;11;19;49;2;1;419.375534389522
0;Strings;1;14;26;53;2;1;615.623364563797
0;Strings;1;15;40;56;2;1;777.553980546442
0;Strings;1;18;10;55;2;1;572.350197113038
0;Strings;1;19;18;52;2;1;417.09411438927
0;Strings;1;24;42;58;2;1;680.728739244722
0;Strings;1;28;40;59;2;1;584.591205861098
0;Strings;1;29;31;53;2;1;508.544175338505
0;Strings;1;30;14;51;2;1;395.489368524855
0;Strings;1;4;20;43;2;2;571.422982716619
0;Strings;1;8;14;51;2;2;381.398943283143
0;Strings;1;10;32;57;2;2;825.26152024686
0;Strings;1;11;19;49;2;2;419.375534389522
0;Strings;1;14;26;53;2;2;615.623364563797
0;Strings;1;15;40;56;2;2;777.553980546442
0;Strings;1;18;10;55;2;2;572.350197113038
0;Strings;1;19;18;52;2;2;417.09411438927
